,S:Max Principal P,S:Mid Principal P,S:Min Principal P,Unnamed: 4,Unnamed: 8,Unnamed: 9
120,1.46871E+03,8.71367,-58.7068,458.429E-03,316.357E-03,925.352E-03
121,1.46983E+03,9.0393,-60.475,465.22E-03,315.881E-03,923.132E-03
122,1.4708E+03,9.31372,-62.4445,472.141E-03,315.32E-03,920.76E-03
123,1.47177E+03,9.53608,-64.3213,479.194E-03,314.775E-03,918.54E-03
124,1.47268E+03,9.50995,-66.0014,486.38E-03,314.216E-03,916.809E-03
125,1.47352E+03,9.58772,-67.8865,493.689E-03,313.622E-03,914.724E-03
126,1.47457E+03,9.48233,-69.1233,501.104E-03,313.191E-03,913.561E-03
127,1.47467E+03,9.51019,-72.1645,508.446E-03,312.188E-03,910.37E-03
128,1.4758E+03,10.8619,-74.4663,516.131E-03,311.864E-03,906.388E-03
129,1.47678E+03,10.7139,-75.6417,523.943E-03,311.441E-03,905.376E-03
130,1.47785E+03,10.8837,-76.8772,531.855E-03,311.1E-03,903.935E-03
131,1.47906E+03,11.416,-78.104,539.869E-03,310.878E-03,902.13E-03
132,1.47975E+03,11.3422,-79.7001,548.007E-03,310.336E-03,900.58E-03
133,1.48077E+03,11.7551,-81.0574,556.269E-03,310.032E-03,898.746E-03
134,1.48172E+03,11.4463,-81.844,564.644E-03,309.69E-03,898.317E-03
135,1.48346E+03,12.978,-82.7249,573.127E-03,309.904E-03,895.804E-03
136,1.48459E+03,13.3504,-83.6508,581.689E-03,309.731E-03,894.467E-03
137,1.48554E+03,13.0555,-84.2809,590.354E-03,309.447E-03,894.173E-03
138,1.48645E+03,12.8684,-84.9878,599.042E-03,309.17E-03,893.703E-03
139,1.48753E+03,12.1934,-84.85,607.731E-03,309.024E-03,894.622E-03
140,1.48828E+03,12.1641,-85.8629,616.513E-03,308.694E-03,893.655E-03
141,1.49003E+03,12.8521,-85.5659,625.309E-03,309.033E-03,893.349E-03
142,1.49128E+03,13.2624,-85.8886,634.126E-03,309.074E-03,892.633E-03
143,1.49298E+03,14.3676,-85.9505,643.055E-03,309.422E-03,891.463E-03
144,1.49425E+03,14.5155,-85.9057,652.085E-03,309.503E-03,891.424E-03
145,1.49556E+03,15.2403,-86.2846,661.208E-03,309.622E-03,890.326E-03
146,1.49688E+03,15.5015,-86.1646,670.445E-03,309.763E-03,890.278E-03
147,1.49814E+03,16.5614,-86.8514,679.784E-03,309.884E-03,888.472E-03
148,1.4993E+03,17.0791,-87.2036,689.343E-03,309.946E-03,887.623E-03
149,1.50079E+03,17.3737,-86.8187,699.515E-03,310.185E-03,887.796E-03
150,1.50164E+03,16.7796,-86.8006,709.741E-03,310.022E-03,888.52E-03
151,1.50299E+03,17.2185,-86.7026,720.063E-03,310.209E-03,888.245E-03
152,1.50508E+03,17.8331,-85.3274,730.475E-03,310.879E-03,889.172E-03
153,1.507E+03,17.7418,-83.5857,740.881E-03,311.449E-03,891.18E-03
154,1.50894E+03,18.0689,-82.1309,751.316E-03,312.053E-03,892.462E-03
155,1.51081E+03,18.7856,-81.1235,761.873E-03,312.628E-03,892.766E-03
156,1.51238E+03,18.7968,-80.003,772.484E-03,313.019E-03,894.091E-03
157,1.51416E+03,18.6449,-78.3138,783.195E-03,313.547E-03,896.123E-03
158,1.51602E+03,18.451,-76.3927,794.045E-03,314.138E-03,898.431E-03
159,1.51854E+03,19.6361,-74.4417,805.012E-03,315.17E-03,899.275E-03
160,1.52134E+03,20.0887,-71.2663,816.117E-03,316.378E-03,902.192E-03
161,1.52332E+03,20.132,-69.185,826.968E-03,317.092E-03,904.467E-03
162,1.52578E+03,20.5602,-66.5265,837.95E-03,318.117E-03,906.877E-03
163,1.52802E+03,20.2602,-63.6006,849.153E-03,319.E-03,910.185E-03
164,1.53115E+03,21.0289,-60.0644,861.321E-03,320.418E-03,913.388E-03
165,1.53325E+03,21.0768,-57.7411,873.344E-03,321.208E-03,915.876E-03
166,1.53361E+03,18.0436,-55.8265,885.305E-03,320.893E-03,921.404E-03
167,1.53643E+03,17.7716,-51.7069,897.314E-03,322.169E-03,926.085E-03
168,1.54004E+03,19.3139,-47.7354,909.29E-03,323.964E-03,928.875E-03
169,1.54872E+03,26.139,-39.004,921.369E-03,328.981E-03,930.906E-03
170,1.55271E+03,26.3954,-32.9836,933.411E-03,331.036E-03,937.028E-03
171,1.5597E+03,30.6898,-25.0829,945.612E-03,334.973E-03,940.864E-03
172,1.56448E+03,31.3706,-17.9321,958.112E-03,337.52E-03,947.622E-03
173,1.57031E+03,34.6283,-11.2407,971.509E-03,340.725E-03,951.081E-03
174,1.5735E+03,33.9771,-5.88416,985.067E-03,342.257E-03,957.575E-03
175,1.58497E+03,38.1433,10.9769,998.84E-03,349.033E-03,971.582E-03
176,1.58887E+03,38.6905,16.7497,1.01271,351.064E-03,976.859E-03
177,1.59551E+03,43.0177,24.0328,1.02682,354.777E-03,980.247E-03
178,1.58117E+03,47.1487,-8.07527,1.04197,347.066E-03,943.505E-03
179,1.58247E+03,40.4963,-4.29917,1.05746,344.797E-03,953.66E-03
180,1.59316E+03,46.1562,14.7258,1.07266,363.115E-03,959.689E-03
181,1.57825E+03,54.9527,14.0369,1.08977,0.,0.
182,1.6039E+03,53.7009,43.0583,1.10622,0.,0.
183,1.64069E+03,83.408,61.4403,1.12341,379.486E-03,975.065E-03
184,1.63597E+03,104.949,31.1717,1.14133,376.429E-03,922.433E-03
185,1.66493E+03,170.032,30.2786,1.15927,396.156E-03,852.57E-03
186,1.69131E+03,232.048,31.1391,1.1782,415.953E-03,796.746E-03
187,1.72751E+03,306.793,38.4073,1.19757,439.454E-03,716.477E-03
188,1.7339E+03,351.635,22.6846,1.21749,446.82E-03,651.623E-03
189,1.74506E+03,368.575,29.1907,1.23662,453.835E-03,640.093E-03
190,1.75771E+03,392.984,33.0302,1.25475,441.799E-03,625.797E-03
191,1.76702E+03,433.019,25.5903,1.27304,470.233E-03,569.292E-03
192,1.75476E+03,450.396,5.00886,1.29186,456.419E-03,560.765E-03
193,1.79462E+03,494.468,37.6331,1.31,491.2E-03,516.17E-03
194,1.81088E+03,542.689,43.2846,1.32782,506.208E-03,470.104E-03
195,1.83831E+03,602.748,58.3989,1.34616,527.405E-03,421.645E-03
196,1.8805E+03,646.258,98.8493,1.36381,553.677E-03,418.206E-03
197,1.91743E+03,714.661,123.695,1.38155,580.195E-03,371.276E-03
198,1.94143E+03,728.714,148.559,1.39828,592.952E-03,383.676E-03
199,1.8742E+03,801.378,50.2504,1.41377,562.453E-03,205.724E-03
200,1.46488E+03,694.372,46.6997,1.43365,371.82E-03,661.511E-03
201,1.7751E+03,622.243,-37.4775,1.44808,495.047E-03,293.348E-03
202,1.78795E+03,617.679,-20.0115,1.46253,500.689E-03,318.166E-03
203,1.6903E+03,440.473,-93.0953,1.47763,406.573E-03,305.176E-03
204,1.67791E+03,456.009,-111.611,1.49281,645.955E-03,125.239E-03
205,1.67072E+03,453.301,-125.076,1.50746,419.676E-03,386.193E-03
206,1.68272E+03,447.535,-106.651,1.52176,391.226E-03,333.939E-03
207,1.69107E+03,427.592,-78.8674,1.53596,383.473E-03,377.21E-03
208,1.69444E+03,456.949,-95.4849,1.54933,642.285E-03,132.579E-03
209,1.68375E+03,457.816,-112.134,1.56398,425.594E-03,400.057E-03
210,1.71441E+03,528.019,-95.3082,1.58138,449.467E-03,337.896E-03
211,1.71762E+03,525.044,-91.2089,1.60331,450.253E-03,347.745E-03
212,1.715E+03,472.811,-78.4193,1.62421,441.913E-03,416.248E-03
213,1.68433E+03,366.265,-70.0892,1.64571,412.074E-03,417.668E-03
214,1.68996E+03,365.946,-72.1427,1.66346,416.141E-03,539.269E-03
215,1.68271E+03,332.082,-67.8834,1.68254,408.458E-03,578.402E-03
216,1.67654E+03,335.564,-79.8541,1.69879,405.103E-03,564.944E-03
217,1.66728E+03,321.674,-88.2436,1.71456,398.3E-03,570.797E-03
218,1.66873E+03,319.838,-86.9007,1.73036,398.24E-03,574.321E-03
219,1.66005E+03,305.371,-93.6081,1.74526,434.588E-03,467.974E-03
220,1.66497E+03,300.278,-85.4959,1.75962,393.334E-03,596.196E-03
221,1.66254E+03,295.292,-87.7826,1.77331,391.134E-03,598.944E-03
222,1.67483E+03,295.674,-70.6791,1.78653,397.231E-03,616.633E-03
223,1.69168E+03,304.25,-50.284,1.79924,406.732E-03,628.165E-03
224,1.69674E+03,308.328,-44.8478,1.81225,409.76E-03,627.452E-03
225,1.7023E+03,310.118,-38.8609,1.82393,412.303E-03,632.908E-03
