,Unnamed: 1,S:Max Principal P,S:Mid Principal P,S:Min Principal P,Unnamed: 9,Unnamed: 10
111,201.682E-03,1.51155E+03,368.355,21.718,469.43E-03,571.828E-03
112,204.986E-03,1.51707E+03,372.429,22.5444,470.74E-03,568.923E-03
113,208.357E-03,1.52269E+03,376.585,23.3747,472.064E-03,565.958E-03
114,211.798E-03,1.52836E+03,380.896,24.2698,473.459E-03,562.885E-03
115,215.317E-03,1.53409E+03,385.39,25.207,474.924E-03,559.643E-03
116,218.909E-03,1.53995E+03,389.972,26.2034,476.425E-03,556.403E-03
117,222.577E-03,1.546E+03,394.843,27.4645,478.125E-03,553.125E-03
118,226.327E-03,1.55184E+03,399.666,28.4284,479.676E-03,549.562E-03
119,230.158E-03,1.55786E+03,404.641,29.4824,481.295E-03,545.96E-03
120,234.073E-03,1.56395E+03,409.967,30.7035,483.095E-03,542.109E-03
121,238.073E-03,1.57017E+03,415.395,31.95,484.918E-03,538.207E-03
122,242.16E-03,1.57645E+03,421.015,33.2548,486.817E-03,534.148E-03
123,246.337E-03,1.58282E+03,426.835,34.6583,488.809E-03,529.977E-03
124,250.604E-03,1.58928E+03,432.792,36.0658,490.827E-03,525.68E-03
125,254.966E-03,1.59584E+03,438.993,37.6754,493.E-03,521.316E-03
126,259.422E-03,1.6025E+03,445.365,39.2608,495.195E-03,516.76E-03
127,263.971E-03,1.60922E+03,451.979,40.9906,497.519E-03,512.071E-03
128,268.618E-03,1.61604E+03,458.73,42.7681,499.885E-03,507.311E-03
129,273.361E-03,1.62294E+03,465.706,44.6552,502.356E-03,502.41E-03
130,278.204E-03,1.6299E+03,472.838,46.5816,504.874E-03,497.392E-03
131,283.148E-03,1.63705E+03,480.27,48.7278,507.56E-03,492.282E-03
132,288.198E-03,1.64421E+03,487.895,50.8311,510.271E-03,486.908E-03
133,293.353E-03,1.65149E+03,495.663,53.1394,513.096E-03,481.614E-03
134,298.616E-03,1.65888E+03,503.689,55.5192,516.01E-03,476.117E-03
135,303.993E-03,1.66634E+03,511.904,58.0128,519.015E-03,470.529E-03
136,309.485E-03,1.67396E+03,520.43,60.6226,522.138E-03,464.739E-03
137,315.096E-03,1.68162E+03,529.158,63.3478,525.358E-03,458.835E-03
