Disp,Force
0.0203234,1.812625732
0.0204532,1.830023804
0.0207207,1.847235474
0.0210006,1.864643311
0.0211288,1.881741699
0.021444,1.898918579
0.0214764,1.916069458
0.0216907,1.933391357
0.0219421,1.951161377
0.022245,1.968098755
0.0223965,1.985391846
0.0225798,2.002133179
0.0227413,2.019298218
0.0228654,2.036176392
0.0231684,2.052852051
0.0232859,2.069955566
0.0236347,2.087030273
0.0241518,2.104085693
0.0239408,2.121115234
0.0240842,2.138098633
0.024325,2.155179199
0.0243899,2.172291504
0.0246763,2.189681396
0.0247469,2.206664063
0.0250302,2.223986816
0.0252393,2.240993408
0.0254425,2.25805835
0.0255734,2.275200439
0.0258616,2.292436035
0.0260658,2.309400146
0.0262663,2.326500732
0.0264387,2.343432861
0.0266576,2.360249512
0.026888,2.377515869
0.0270738,2.394641602
0.0273169,2.411768799
0.0275846,2.428727539
0.0277283,2.445626221
0.0278399,2.46260791
0.0279939,2.47967627
0.0283304,2.496639404
0.0284582,2.513733887
0.0287589,2.531071045
0.0289314,2.54829126
0.0291387,2.565248047
0.0293764,2.582320068
0.0296651,2.599499268
0.0298589,2.616269043
0.0300118,2.63352124
0.0301236,2.651090088
0.0303943,2.668760742
0.0305674,2.685697998
0.0307591,2.70295874
0.0310616,2.720113525
0.0311826,2.737310059
0.0315316,2.754699707
0.0316359,2.771591064
0.0317655,2.788939941
0.032073,2.806329834
0.0323639,2.823960449
0.0325364,2.841475586
0.0329443,2.859767822
0.0329209,2.878336426
0.0330513,2.897077881
0.0335941,2.91589209
0.0335988,2.934341309
0.0338548,2.952842529
0.0341126,2.971547363
0.0342626,2.990717285
0.0346176,3.009607422
0.034886,3.0289646
0.0350421,3.048503174
0.0352495,3.067924805
0.0355265,3.087562256
0.0357761,3.106987549
0.0360301,3.126585693
0.0362226,3.146482178
0.0364693,3.166859863
0.0367536,3.187045898
0.0370024,3.207125
0.0372835,3.227726318
0.0376795,3.24807251
0.0376526,3.268513672
0.0380564,3.289141846
0.0383405,3.309815918
0.0386069,3.330244629
0.0388801,3.350856201
0.0392006,3.371310547
0.0394493,3.391869141
0.0397528,3.412685791
0.0398546,3.433501709
0.0402055,3.454062988
0.0404569,3.474904541
0.0408651,3.495591797
0.0411437,3.516151123
0.0413111,3.537195068
0.0414046,3.557700684
0.0418336,3.578369385
0.0420413,3.599357422
0.0423239,3.620222656
0.0425596,3.641011475
0.0429114,3.661932373
0.0430876,3.683175537
0.0432417,3.704376465
0.0437936,3.725638672
0.0440907,3.747462402
0.0443503,3.769149902
0.0446223,3.790881592
0.044994,3.812743896
0.0451691,3.834259521
0.0454753,3.856512207
0.0457393,3.878244385
0.0461621,3.89982373
0.046472,3.921455811
0.0469733,3.943456787
0.0470299,3.965212402
0.0474331,3.987031982
0.0477169,4.009115234
0.0480572,4.031153809
0.0484951,4.053328125
0.0485682,4.075098145
0.0489821,4.097291992
0.0492334,4.119431641
0.0497177,4.141342285
0.0498828,4.16329541
0.0502468,4.185058105
0.0507318,4.207129395
